book_id;character_id;name;gender;descent_country;descent_city;living_country;living_city;age;education;profession
37;1;God;1;99;99;99;99;99;1;schepper
37;2;Jozef;1;99;99;5;12;99;2;timmerman
37;3;Jezus;1;5;12;99;99;2;1;messias
37;4;Bartje;2;99;99;99;99;99;2;huishoudhulp
37;5;Mozes;1;5;99;99;99;99;1;leider van het volk
37;6;Jozua;1;5;99;99;99;99;1;leider van het volk
37;7;Ahab;1;99;99;99;99;99;1;hulp leider van het volk
37;8;Mirjam;2;99;99;99;99;99;99;99
37;9;Rachab;2;99;99;99;99;99;2;prostituee
37;10;Maria;2;99;99;99;99;99;2;huisvrouw
37;11;Gabriël;1;99;99;99;99;99;99;engel
37;12;Johannes;1;5;99;99;99;2;99;profeet
37;13;Jogli;1;99;99;99;99;99;99;reus/sneeuwmoordenaar
37;14;Michaël;1;99;99;99;99;99;99;engel
38;1;Adriaan;1;1;3;1;2;1;1;arts
38;2;Merel;2;1;3;1;3;1;1;student
38;3;Mila;2;1;3;1;3;1;1;verpleger
38;4;Evelien;2;1;3;1;3;99;2;boer
38;5;Jo;1;1;3;1;3;99;2;boer
38;6;Oosterling;1;6;99;1;3;6;1;arts
38;7;Sieme;1;1;99;1;3;99;2;klusser
38;8;Reijer;1;1;3;1;3;99;2;boer
38;9;Jaap;1;1;3;1;3;2;2;boer/verzetsstrijder
38;10;Frank;1;1;99;1;99;99;99;arts
38;11;Kuyper;1;1;99;1;99;99;99;verzetsstrijder
38;12;Berthe;2;1;99;1;3;6;99;99
38;13;Piechler;1;3;99;1;3;99;1;arts
39;1;Rick;1;1;99;1;2;4;1;99
39;2;Suzanna;2;1;99;1;2;1;99;scholier
39;3;Luuk;1;1;99;1;2;1;1;student
39;4;Deborah;2;1;3;1;2;4;2;administratief medewerker
39;5;Egbert;1;1;99;1;99;3;1;wiskundige/natuurkundige
39;6;Steven;1;1;99;1;99;4;99;99
39;7;Leon ;1;1;99;1;99;4;1;kunstenaar
39;8;Ingrid;2;1;99;1;99;99;99;scholier
39;9;Marie-Marie;2;1;99;1;99;99;99;99
39;10;Andrea;2;1;99;1;99;1;99;scholier
39;11;Emmy;2;1;99;1;99;99;99;99
40;1;Sjoerd;1;1;3;1;3;1;99;scholier
40;2;Ruurd;1;1;3;1;3;3;2;fabrieksmedewerker
40;3;Mengsje;2;1;3;1;3;3;99;huisvrouw
40;4;Loulou;2;1;99;1;3;3;99;99
